#[AFISE]Type,ObjectType,[EntityType]KindID,DomainID,CountryID,CategoryID,SubCategoryID,SpecificID,ExtraID,Mil-2525,Range
GENERAL_VEHICLES_SUZUKI_SWIFT,4,1,1,165,81,52,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_SUZUKI_CULTUS,4,1,1,165,81,52,2,0,GENERAL_VEHICLES,0
GENERAL_VEHICLES_SUZUKI_WAGON_R,4,1,1,165,81,52,3,0,GENERAL_VEHICLES,0
GENERAL_VEHICLES_SUZUKI_ALTO,4,1,1,165,81,52,4,0,GENERAL_VEHICLES,0
GENERAL_VEHICLES_SINGLE_CABIN,4,1,1,165,81,112,1,0,GENERAL_VEHICLES,0
GENERAL_VEHICLES_TOYOTA_LANDCRUISER_3_DOOR,4,1,1,165,81,112,2,0,GENERAL_VEHICLES,0
GENERAL_VEHICLES_SUZUKI_POTOHAR,4,1,1,165,81,112,3,0,GENERAL_VEHICLES,0
GENERAL_VEHICLES_JEEP,4,1,1,165,81,112,4,0,GENERAL_VEHICLES ,0
GENERAL_VEHICLES_DOUBLE_CABIN,4,1,1,165,81,113,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_TOYOTA_SURF,4,1,1,165,81,113,2,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_TOYOTA_Revo,4,1,1,165,81,113,3,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_BMW_X5,4,1,1,165,81,113,4,0,GENERAL_VEHICLES  ,0
SHELL_155MM,14,2,9,165,2,5,0,0,SHELL  ,0
GENERAL_VEHICLES_TOYOTA_LANDCRUISER_5_DOOR,4,1,1,165,81,114,2,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_HONDA_CD_70,4,1,1,165,80,1,1,1,GENERAL_VEHICLES  ,0
SHELL_203MM,4,2,9,165,2,6,0,0,SHELL,0
GENERAL_VEHICLES_TOYOTA_HIACE,4,1,1,165,82,1,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_TOYOTA_COASTER,4,1,1,165,82,8,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_AIRPORT_TRANSPORT_BUS,4,1,1,165,82,17,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_PRIVATE_BUS,4,1,1,165,82,2,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_TRUCK,4,1,1,165,83,10,0,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_OIL_TANKER,4,1,1,165,83,20,0,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_AMBULANCE,4,1,1,165,84,1,0,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_CRASH_TENDER,4,1,1,165,84,12,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_RUNWAY_AUTO_SWEEPER,4,1,1,165,84,70,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_SUPPLY_VAN,4,1,1,165,83,70,0,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_RUNWAY_INSPECTION,4,1,1,165,84,90,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_FRICTION_TEST,4,1,1,165,84,90,2,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_DRAG_PARACHUTE_VAN,4,1,1,165,84,90,3,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_PUSH_BACK,4,1,1,165,84,90,4,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_FOLLOW_ME,4,1,1,165,84,90,5,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_STAIRS_CABIN,4,1,1,165,84,90,6,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_STAIRS_TRUCK,4,1,1,165,84,90,7,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_BICYCLE,4,1,1,165,91,1,0,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_WATER_BOUZER,4,1,1,165,84,122,1,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_BASE_COMMANDER_CAR,4,1,1,165,81,43,2,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_OC_FLYING_CAR,4,1,1,165,81,52,2,0,GENERAL_VEHICLES  ,0
GENERAL_VEHICLES_MOBILE_OFFICER,4,1,1,165,81,113,1,0,GENERAL_VEHICLES  ,0
LIFE_FORM_SOLDIER,6,3,1,165,11,1,0,0,LIFE_FORM,0
LIFE_FORM_BIRD_SHOOTER,6,3,1,165,13,1,0,1,LIFE_FORM,0
LIFE_FORM_MAN,6,3,1,165,130,0,0,0,LIFE_FORM,0
LIFE_FORM_WOMAN,6,3,1,165,130,0,0,100,LIFE_FORM,0
LIFE_FORM_TECHNICIAN,6,3,1,165,13,150,1,0,LIFE_FORM,0
MISSILE_AIM_9L,12,2,1,165,1,1,1,0,MISSILE,0
MISSILE_AIM_120_C5,12,2,1,165,1,2,0,0,MISSILE,0
MISSILE_ASPIDE_2000,12,2,1,165,1,3,0,0,MISSILE,0
LIFE_FORM_DOG,7,3,1,165,200,1,0,0,LIFE_FORM,0
LIFE_FORM_CAT,7,3,1,165,200,1,0,0,LIFE_FORM,0
TANK_ALKHALID,3,1,1,165,1,1,0,0,TANK,0
TANK_AL_ZARAR,3,1,1,165,1,2,0,0,TANK,0
TANK_ARJUN,3,1,1,99,1,1,0,0,TANK,0
APC_TALHA,3,1,1,165,2,1,0,0,APC,0
STATIC_OBJECT_TRENCH,8,5,1,165,5,1,0,0,CULTURAL_FEATURES,0
STATIC_OBJECT_OBSERVATION_TOWER,8,5,1,165,17,3,0,0,CULTURAL_FEATURES,0
LIFE_FORM_JTAC,6,3,1,165,11,150,1,0,LIFE_FORM,0
STATIC_OBJECT_FENCE,8,5,1,165,5,36,0,0,CULTURAL_FEATURES,0
ARTILLERY_M110A2,3,1,1,165,4,2,0,0,ARTILLERY,0
LIFE_FORM_TOWER_CONTROLLER,6,5,1,165,17,4,0,0,LIFE_FORM,0
BOMB_GBU_32,13,2,9,165,1,4,0,0,BOMB,0
BOMB_GBU_38,13,2,9,165,1,5,0,0,BOMB,0
BOMB_GBU_31,13,2,9,165,1,3,0,0,BOMB,0
DEFAULT_FIGHTER,1,1,2,165,1,0,0,0,FIGHTER,0
DEFAULT_UAV,1,1,2,165,50,0,0,0,UAV,0
DEFAULT_AIRLINER,1,1,2,165,86,0,0,0,AIRLINER,0
DEFAULT_MILITARY_CARGO_TANKER,1,1,2,165,4,0,0,0,MILITARY_CARGO_TANKER,0
DEFAULT_RADAR,11,9,1,165,2,0,0,0,RADAR ,0
