#DIS Enumerations
#Author,Iqra Khan
#Created DateTime,28/11/2024 3:57:36 pm
#Comments,Added new missiles; Rudram 1, Rudram 2, Rudram 3
#
#[AFISE]Type,Name,Code,HexValue,[EntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,[AlternateEntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,Description,RCS
#Start
FalcoUAV,Falco UAV,7503,0x1D4F,1,Platform,2,Air,165,Pakistan,50,Unmanned,1,Selex ES Falco,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1
BuraqUAV,Buraq UAV,7513,0x1D59,1,Platform,2,Air,165,Pakistan,50,Unmanned,2,Buraq,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.5
ShahperUAV,Shahper UAV,7514,0x1D5A,1,Platform,2,Air,165,Pakistan,50,Unmanned,3,Shahper,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.5
Tornado_UAV,Tornado UAV,7504,0x1D50,1,Platform,2,Air,165,Pakistan,50,Unmanned,4,Tornado,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1
UqabUAV,Uqab UAV,7505,0x1D51,1,Platform,2,Air,165,Pakistan,50,Unmanned,5,Uqab,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1
VectorUAV,Vector UAV,7508,0x1D54,1,Platform,2,Air,165,Pakistan,50,Unmanned,6,Vector,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.1
RoverUAV,Rover UAV,7509,0x1D55,1,Platform,2,Air,165,Pakistan,50,Unmanned,7,Rover,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.1
ShadowMKI,Shadow MKI UAV,7510,0x1D56,1,Platform,2,Air,165,Pakistan,50,Unmanned,8,Shadow MK-I,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,0.5
ATR42,ATR-42,9001,0x2329,1,Platform,2,Air,165,Pakistan,86,Civilian Fixed Wing Aircraft{:} Medium,22,Twin Engine Turboprop,1,ATR-42,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,70
AirbusA320,Airbus A-320,9008,0x2330,1,Platform,2,Air,165,Pakistan,87,Civilian Fixed Wing Aircraft{:} Large,32,Twin Jet,2,Airbus A320,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,90
Boeing737,Boeing 737,9003,0x232B,1,Platform,2,Air,165,Pakistan,87,Civilian Fixed Wing Aircraft{:} Large,32,Twin Jet,3,Boeing 737,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,100
Challenger605,Bombardier Challenger 605,9012,0x2334,1,Platform,2,Air,165,Pakistan,87,Civilian Fixed Wing Aircraft{:} Large,32,Twin Jet,4,Bombardier Challenger 605,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,70
ATR72,ATR-72,9002,0x232A,1,Platform,2,Air,165,Pakistan,87,Civilian Fixed Wing Aircraft{:} Large,22,Twin Engine Turboprop,1,ATR-72,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,80
BeechcraftModel1300,Beechcraft Model 1300 Airliner,9013,0x2335,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,22,Twin Engine Turboprop,1,Beechcraft Model 1300 Airliner,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,70
AirbusA300,Airbus A300,9006,0x232E,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,32,Twin Jet,2,Airbus A300,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,90
AirbusA310,Airbus A310,9007,0x232F,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,32,Twin Jet,3,Airbus A310,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,90
AirbusA330,Airbus A330,9009,0x2331,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,32,Twin Jet,4,Airbus A330,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,100
Boeing777,Boeing 777,9005,0x232D,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,32,Twin Jet,8,Boeing 777,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,100
Boeing747,Boeing 747,9004,0x232C,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,34,Four Engine Jet,7,Boeing 747,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,100
AirbusA340,Airbus A340,9010,0x2332,1,Platform,2,Air,165,Pakistan,88,Civilian Fixed Wing Aircraft{:} Heavy,34,Four Engine Jet,5,Airbus A340,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,100
Mirage2000,Dassault Mirage-2000,7019,0x1B6B,1,Platform,2,Air,99,India,1,Fighter/Air Defense,2,Mirage 2000,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1.5
